ID FACTURE;CODE FOURNISSEUR;NOM FOURNISSEUR;NUM FACTURE;DATE FACTURE;ENTITE FACTURE;ID ENGAGEMENT;MONTANT TTC;DATE INSERTION;STATUT
17-166-506_51537901-120;F01424;NP6 SAS;F1705019;31/05/2017;G09;ABILLM;251,39;16/06/2017;Correction
17-164-506_51478101-228;F16160;RES@ANTILLES;17FA4890;29/05/2017;G09;ADSINF;11918,73;15/06/2017;Correction
17-164-506_51478101-234;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;200007017000403;06/06/2017;G09;ADIMEX;1995;15/06/2017;Correction
17-164-506_51478101-244;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;917000030;02/06/2017;G09;ABILLM;3328,35;15/06/2017;Correction
17-164-506_51478101-269;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;902017731INV;31/05/2017;G09;ABILLM;61882,74;15/06/2017;Correction
17-164-506_51478101-226;F30561;ECONOCOM CYBER SECURITY;160919;31/12/2016;G09;ADSINF;14592;15/06/2017;Correction
17-164-506_51478101-284;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;1052017;31/05/2017;G09;AARCCG;5634;15/06/2017;Correction
17-164-506_51478101-296;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;2017071;08/06/2017;G09;ADCOOR;1300;15/06/2017;Correction
17-166-506_51537401-10;F08762;TELEPERFORMANCE FRANCE;TPFRA1705FAC1290;31/05/2017;G09;ADCOMA;12034,09;15/06/2017;Correction
17-166-506_51537401-48;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;FA1700387;31/05/2017;G09;ARGTOU;2126,82;15/06/2017;Correction
17-166-506_51537901-230;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;217100;15/05/2017;G09;ASGJFG;1198;16/06/2017;Correction
17-166-506_51537901-234;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;201731053264;31/05/2017;G09;ASGJFG;720;16/06/2017;Correction
17-166-506_51537901-242;F27746;API RESTAURATION;3F912440;31/03/2017;G09;ABILLM;3850,35;16/06/2017;Correction
17-166-506_51545801-12;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;3024;04/05/2017;G04;ABILLM;120;19/06/2017;Correction
17-166-506_51545801-14;F00161;ARAQUY - SALOME SCP;1706454;23/05/2017;999;ABILLM;135,91;19/06/2017;Correction
17-166-506_51545801-93;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;F170329;27/01/2017;G04;ADIMEX;1274,90;19/06/2017;Correction
17-167-506_51619601-64;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;20161231AG2R01;28/02/2017;G09;ARGEST;86,94;20/06/2017;Correction
17-167-506_51619401-19;F32140;ARRAMBIDE;TE201700808;31/03/2017;G04;ABILLM;10661,04;20/06/2017;Correction
17-167-506_51619401-23;F32282;SARL CHM;FACT1705115;30/05/2017;G04;ADIMEX;0;20/06/2017;Correction
17-167-506_51619401-48;F32175;JEAN GOYTY SARL;11664;31/03/2017;G04;ABILLM;971,81;20/06/2017;Correction
17-167-506_51619401-61;F32175;JEAN GOYTY SARL;11541;21/02/2017;G04;ABILLM;3944,45;20/06/2017;Correction
17-167-506_51619401-75;F32282;SARL CHM;FACT1702037;31/01/2017;G04;ABILLM;3620,74;20/06/2017;Correction
17-166-506_51546401-89;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;FA006500;31/05/2017;G09;ADLOGI;165,82;19/06/2017;Correction
17-166-506_51546401-197;F29035;ADIX;AX170540;31/05/2017;G09;ABILLM;15600;19/06/2017;Correction
17-166-506_51537601-36;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;100764;12/06/2017;G04;ASGJF2;1349,94;16/06/2017;Correction
17-166-506_51537601-58;F06579;OBSERVATOIRE DE L IMMOBILIER;17MGS34;08/06/2017;G04;ABILLM;2300;16/06/2017;Correction
17-166-506_51537601-74;F33294;TAMARUN SPL;8016;01/06/2017;G04;ABILLM;940,50;16/06/2017;Correction
17-166-506_51537601-76;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;2017064;31/05/2017;G04;ADCORC;2766;16/06/2017;Correction
17-166-506_51537601-78;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;2017063;31/05/2017;G04;ADCORC;690,96;16/06/2017;Correction
17-166-506_51537601-83;F15875;H   CO;180517NF;19/05/2017;999;ADCORC;4025,14;16/06/2017;Correction
17-166-506_51537601-89;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;R1752303;09/06/2017;G04;ADRHEC;180;16/06/2017;Correction
17-167-506_51620801-26;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;6070;22/05/2017;G09;ADIMEX;120;20/06/2017;Correction
